title,pubDate,description,link
"India vs West Indies, 1st ODI, Live cricket score: Dhawan, Rahane blast fifties","Fri, 23 Jun 2017 02:38:40 GMT ","Ajinkya Rahane slammed his 17th fifty while Shikhar Dhawan slammed his 20th fifty as India were on top against West Indies in Port of Spain after Jason Holder chose to bowl. Catch live cricket score of India vs West Indies 2017, 1st ODI here ",http://www.hindustantimes.com/india-vs-west-indies-2017/india-vs-west-indies-2017-live-cricket-score-1st-odi-port-of-spain-live/story-HVbvqMpgtRy3J0Va1A1I3N.html
Modi's visit will set the tone for India's engagement with Trump administration,"Fri, 23 Jun 2017 12:43:37 GMT ","The outcome of PM Narendra Modi’s fifth US visit will impact how India manages its economic aspirations and security challenges, writes former envoy Arun K Singh",http://www.hindustantimes.com/opinion/modi-s-visit-will-set-the-tone-for-india-s-engagement-with-trump-administration/story-90DjpN5p1Ays6hd8V3HTwJ.html
"SRK, Salman, Sonakshi and more: Bollywood celebs watch Tubelight at special scr...","Fri, 23 Jun 2017 11:15:14 GMT ","Bollywood stars Shah Rukh Khan, Sonakshi Sinha, Waheeda Rehman, Helen, among several others attended a special screening of Tubelight on Thursday. See pics.",http://www.hindustantimes.com/bollywood/shah-rukh-khan-salman-sonakshi-and-more-bollywood-celebs-watch-tubelight-at-special-screening/story-bq6fLVjNg0MbLmfAZDocQJ.html
Raag Desh teaser: Tigmanshu Dhulia evokes patriotism and rebellion with his film,"Fri, 23 Jun 2017 11:03:05 GMT ","Tigmanshu Dhulia revealed the first teaser of his upcoming film Raag Desh, starring Kunal Kapoor, Amit Sadh and  Mohit Marwah on Friday. ",http://www.hindustantimes.com/bollywood/raag-desh-teaser-tigmanshu-dhulia-evokes-patriotism-and-rebellion-with-his-film/story-t9tKzIwKwyRxffhBgFSm2M.html
"'Is this the azadi we are fighting for?' Anger, disbelief among kin of J-K cop lynched...","Fri, 23 Jun 2017 10:39:29 GMT ","Mohammed Ayub Pandith was lynched outside the Jamia mosque in Srinagar on Thursday, which was Shab-e-Qadr, an auspicious night for Muslims.",http://www.hindustantimes.com/india-news/is-this-the-azadi-we-are-fighting-for-anger-disbelief-among-kin-of-j-k-cop-lynched-by-mob/story-LjwaiBI072EBD6K4NK5sIN.html
Salman Khan reveals Shah Rukh Khan's cameo role in Tubelight,"Fri, 23 Jun 2017 09:01:08 GMT ",A video of the Shah Rukh Khan cameo was also leaked online.,http://www.hindustantimes.com/bollywood/salman-khan-reveals-that-srk-makes-a-cameo-appearance-in-tubelight/story-P65xLh4xeztLNWXkEcoNFO.html
How Shraddha Kapoor prepared for playing a mom in Haseena,"Fri, 23 Jun 2017 08:16:22 GMT ","Shraddha Kapoor, who plays the titular role in Haseena, will also have a mom’s part in the film. Director Apoorva Lakhia reveals Shraddha’s preparations behind playing a mother.",http://www.hindustantimes.com/bollywood/how-shraddha-kapoor-prepared-for-playing-a-mom-in-haseena/story-hLV11Qdf1I8lurT7oACUeJ.html
"Judwaa 2: Varun Dhawan, Taapsee Pannu, Jacqueline Fernandez practice for Tan Tana...","Fri, 23 Jun 2017 08:16:18 GMT ","Don’t miss Varun Dhawan, Taapsee Pannu and Jacqueline Fernandez in this new song, titled Tan Tana Tan, from director David Dhawan’s Judwaa 2. The film is a sequel to Salman Khan’s 1997 hit Judwaa. ",http://www.hindustantimes.com/bollywood/judwaa-2-varun-dhawan-taapsee-pannu-jacqueline-fernandez-practice-for-tan-tana-tan/story-3EEFnGv0WUjIDbPsLOdBFN.html
Dream realised by working with Rahman: Sridevi,"Fri, 23 Jun 2017 07:51:41 GMT ","AR Rahman has composed the music for Sridevi’s upcoming film, Mom. “When Ravi and I started working on the project, we felt it’d be nice to have Rahman on board. We were blessed to work with him because it has been a long-time dream,” the actor says.",http://www.hindustantimes.com/bollywood/dream-realised-by-working-with-rahman-sridevi/story-NTEsXmk1lPV61NE7c0mOrI.html
Alia Bhatt to play a Kashmiri girl opposite Vicky Kaushal in Meghana Gulzar's R...,"Fri, 23 Jun 2017 06:55:23 GMT ","Filmmaker Karan Johar announced Meghna Gulzar’s next film - Raazi - that stars Alia Bhatt and Vicky Kaushl in lead roles. The film is based on Harinder Sikka’s novel, Calling Sehmat.",http://www.hindustantimes.com/bollywood/alia-bhatt-to-play-a-kashmiri-girl-opposite-vicky-kaushal-in-meghana-gulzar-s-raazi/story-vQeQqvp3q5heR1RSBj7rHK.html
Uttarakhand becomes fourth ODF state,"Thu, 22 Jun 2017 03:30:01 GMT ","Chief minister Trivendra Singh Rawat welcomed the cleanliness tag  as an important achievement for Uttarakhand, saying all rural areas falling in all 13 districts in the state had become open defecation free.",http://www.hindustantimes.com/dehradun/uttarakhand-becomes-fourth-odf-state/story-TFMEWOgnqRUeaVKvFoCE1K.html
Exclusive Mubarakan stills: Arjun Athiya look glamourous in RD Burman's song re...,"Thu, 22 Jun 2017 07:16:50 GMT ","Exclusive pictures: Arjun Kapoor and Athiya Shetty have donned a glamourous avatar for the title track of their upcoming film, Mubarakan that is set to be launched Thursday evening. Checkout the images here: ",http://www.hindustantimes.com/bollywood/exclusive-mubarakan-stills-arjun-kapoor-athiya-shetty-look-glamourous-in-rd-burman-s-song-rehash-for-title-track/story-rbTiejeJRpqsBnND7kAprK.html
I don't ever want to do a preachy 'social message' film: Irrfan Khan,"Wed, 21 Jun 2017 12:37:54 GMT ","Irrfan Khan talks about the kind of films he wants to associate with, success of Hindi Medium, and more.",http://www.hindustantimes.com/bollywood/i-don-t-ever-want-to-do-a-preachy-social-message-film-irrfan-khan/story-J5BajF99QbS7jNoW1YygiM.html
"No DJs, hockey sticks in 'kaanwar yatra'","Tue, 20 Jun 2017 03:38:18 GMT ","A joint meeting of police and central forces also decided that kaanwarias who carry pitchers of Ganga water won’t be allowed to go beyond the Neelkanth Mahadev temple in Rishikesh, Uttarakhand Director General of Police MA Ganpathy said, adding that efforts were on to ensure safety for pilgrims during the event.",http://www.hindustantimes.com/dehradun/no-djs-hockey-sticks-in-kaanwar-yatra/story-DWfh90DLp84x4winXG2CCL.html
I wish I could do a film with Imtiaz Ali every year: Shah Rukh Khan,"Tue, 20 Jun 2017 11:54:09 GMT ",Actor Shah Rukh Khan says Imtiaz Ali has a lot of ‘Yash Chopra kind of qualities’; adds it’s very easy to work with the film-maker.,http://www.hindustantimes.com/bollywood/i-wish-i-could-do-a-film-with-imtiaz-ali-every-year-shah-rukh-khan/story-Xr4X711fDyeYM9SDgqMafL.html
